Category,Business Type,Supplier,Country,Main Products,Established Year,Total Employees,Total Estimated Revenue,Export Percentage
Apparel,Manufacturer Distributor/Wholesaler,Bokamoda Activewear,China,wholesale activewear,2007,86,1.5m,84%
Apparel,Manufacturer Trading Company Buying Office,Export Elegance,Pakistan,Apparel,,,,
Apparel,Manufacturer,KA sports wear,Pakistan,Sports wear,2004,90 ~ 100,US$ 8Million - US$ 10 Million,40% - 50%
Apparel,Manufacturer Distributor/Wholesaler,Enzo,India,Women's Apparels,2002,20,10 Million,1%
Apparel,Trading Company Distributor/Wholesaler,Magel Eye,Indonesia,Accessories Herbs Spice Fashion Medical Tools Health and Beauty Biodegradable,2016,,,75%
Apparel,,D-star apparels limited,Bangladesh,,,,,
Apparel,,The fifth Avenue garments factory,Canada,Garments,,,,
Apparel,,Gifcotex Work Wear,Pakistan,Protective Clothing Workwear Sports Wear High Visibility Uniforms Chef Uniforms,,,,
Apparel,Manufacturer Distributor/Wholesaler,Chaozhou Jinglaishun Electronic Commerce Co. Ltd.,China,晚礼服,2010,200,2000000,100%
Apparel,Manufacturer,Fatima Company,Pakistan,Custom Clothing,2008,,,
Apparel,,NATASHA NX,India,,,,,
Apparel,Distributor/Wholesaler,pro virgo industries,Pakistan,SPORTS WEARS,2008,30,,
Apparel,Trading Company Distributor/Wholesaler,SA APPARELS BD LTD.,Bangladesh,Hoodies Joggers Tank tops T-Shirts Polo Shirts Sweatshirts Shorts & any kind of Kids Items.,2019,10-100,,
Apparel,Manufacturer Trading Company Distributor/Wholesaler,SeaCotton,Bangladesh,Underwear t-shirt Shorts jogger kids clothing ladies clothing Men’s Clothing,,,,67%
Apparel,Manufacturer Distributor/Wholesaler,Renegade Leather,Pakistan,Leather Jackets,2010,90,$100000+,89%
Apparel,Manufacturer Distributor/Wholesaler,BZ Sport,Pakistan,Apperal & clothing,2019,10,,
Apparel,Distributor/Wholesaler,RAPID Apparels,Bangladesh,T-shirt Polo shirt Sweatshirt Hoodie Bermuda Jogging pants Trousers Shorts etc.,2023,6 Persons,N/A,N/A
Apparel,Manufacturer Distributor/Wholesaler,ELEGANT OVERSEAS,India,KNITS GARMENTS,,,$20000000,98%
Apparel,,AANIL APPAREL,Bangladesh,coverall work wear etc,,,,
Automobiles & Motorcycles,,SeeHo Film Co. Ltd.,China,Car Films,,,,
Automobiles & Motorcycles,Manufacturer,Jinhua Kaichen Trading Co. Ltd,China,dirt bike golf cart ATV go kart buggy,2008,50-100,,
Automobiles & Motorcycles,,Lingyang Technologies INC,China,Solar Tracking Control System,,,,
Automobiles & Motorcycles,Manufacturer,Foshan Bohua Auto Parts Co. Ltd,China,Chain,2006,120,,
Automobiles & Motorcycles,,Jinan ZhongChuan Equipment Co.Ltd.,China,Double End Studs,,,,
Automobiles & Motorcycles,Manufacturer Trading Company Distributor/Wholesaler,Jinhua Kaichen Trading Co. Ltd,China,dirt bike mini cobra ATV,2017,50,,
Automobiles & Motorcycles,,Twos Seating Sdn Bhd (SSCUS),Malaysia,Sport Seat,,,,
Automobiles & Motorcycles,Manufacturer,Anhui Aotong Aoto Parts Co.Ltd,China,Exhaust Pipes,2008,100,USD2000000,80%
Automobiles & Motorcycles,,Shandong Chaoyang Auto Technology Co.Ltd,China,#semi trailer #trailer #heavy duty trailer #truck trailer #low bed #flatbed #fence #side wall #skele,2022,,,
Automobiles & Motorcycles,Manufacturer Trading Company Distributor/Wholesaler Buying Office,cautop inc.,China,auto parts Vehicles Vehicles parts,2019,100,1000000000000,90
Automobiles & Motorcycles,Manufacturer,LINGHUI INDUSTRIAL SHENZHEN CO LTD,China,Obd Y Cable; Dash Camera Charger;Car Rear View Camera,2016,100,,
Automobiles & Motorcycles,,Yuhuan Huayang Machinery Co.Ltd,China,,,,,
Automobiles & Motorcycles,Manufacturer Trading Company,ChangZheng Valve Manufacturing Co,China,engine valve/piston pin/piston ring/valve guide,2012,30-50,US$5 Million - US$10 Million,60%
Automobiles & Motorcycles,Manufacturer Distributor/Wholesaler,Guangdong Chongwe Technology Group,China,EV chargers Smart EV charging solution mold making,2001,over 200,,
Beauty & Personal Care,Distributor/Wholesaler,HJ Corporations Co.Ltd,South Korea,botulinum toxin Dermal Filler lipolysis skin booster mesotherapy,2018,,,
Beauty & Personal Care,Manufacturer Distributor/Wholesaler,Shea Cosmetic,Ghana,Shea Butter,2019,50,,
Beauty & Personal Care,Manufacturer,Zhuhai Haotuo Biotechnology Co. Ltd.,China,hydrogel mask,2017,100,,
Beauty & Personal Care,Manufacturer,Bioha Laboratories Technology Limited,China,reyoungel dermal filler,2010,200,,
Beauty & Personal Care,Manufacturer Distributor/Wholesaler Buying Office,Zhejiang Jinghui Cosmetics Share Co. Ltd,China,fruity fragrance,2003,,,
Beauty & Personal Care,Trading Company Distributor/Wholesaler,Hoyip,Hong Kong,Cosmetics Skincare and Perfumes,2015,20,,
Beauty & Personal Care,Manufacturer,Tweezers Shop,Pakistan,Tweezers,2023,2,,
Beauty & Personal Care,,Zardel Pte Ltd,Singapore,Beauty Skin Care cosmetics body oil Body Lotion,,,,
Beauty & Personal Care,,Daryaye Noor,Iran,Nail Beauty Distributer in Middle east,2003,10,,
Beauty & Personal Care,,Shenzhen Margotan Manufacturer vendor,China,Eye/face/neck/body beauty devices,,,,
Beauty & Personal Care,Manufacturer,Ancool Technology Co. Ltd,China,Ultrasonic Pulmonary Function Testing device(PFT); Enhanced External Counterpulsation Equipment(ECP),2017,500,,
Beauty & Personal Care,Distributor/Wholesaler,Sakiley Exports,Ghana,Shea butter,2022,2,,
Beauty & Personal Care,Manufacturer,Stargo beauty,Pakistan,Beauty care instruments,2002,,,
Beauty & Personal Care,Manufacturer Distributor/Wholesaler,Ftattoo,China,tattoo,,,,
Beauty & Personal Care,Distributor/Wholesaler,B & P Company Limited,Myanmar,Cosmetics Hair Care Skin Care,2019,,,
Beauty & Personal Care,,Odanzi,China,,,,,
Beauty & Personal Care,Manufacturer,Hangzhou Yanpa Cosmetics Co.Ltd.,China,Our OEM & ODM Cosmetics Products are mainly followings: eyeshadow palette liquid eyeshadow Eyeliner Mascara eyebrow Lipstick Lip Gloss Lip Balm Lip Liner lip scrub Foundation Concealer contour and bronzer blush and highlighter powder nail polish and make up tools etc.,2019,100+,,
Beauty & Personal Care,,nirva pharma plus BV,Netherlands,Beauty  Skincare  Perfumes  Hair Care,,,,
Building & Construction,Manufacturer Distributor/Wholesaler,DALIAN AUBIK INTERNATIONAL TRADE CO. LTD,China,Engineered oak flooring wooden ice cream,2003,20-50,usd 3000000,95%
Building & Construction,Manufacturer,Henan Jinlin Pipeline Equipment Co. Ltd.,China,管道设备,2021,100,10000000,10%
Building & Construction,Distributor/Wholesaler,Nanhua Insulation Materials Co. Ltd.,China,绝缘材料,,30+,20 million yuan,40%
Building & Construction,Trading Company Distributor/Wholesaler Buying Office,Guangzhou Yongsen Pool Spa Equipment Co.Ltd.,China,Swimming pool equipment Spa Sauna,2020,2-10,,
Building & Construction,Trading Company,AL-KHABIR,Egypt,Building materials Bricks gypsum Marble raw and manufactured materials such as salt and calcium carbonate as well as vegetables and fruits,2019,20,1 to 5 million usd,
Building & Construction,,Hangzhou Lantu Technology Co.Ltd,China,High Speed Electric Bike,,,,
Building & Construction,Manufacturer Trading Company Distributor/Wholesaler Buying Office,cv global resources sdn bhd,Malaysia,cast iron pipe,2022,7,,
Building & Construction,,Hangzhou Santiway Inport and Export Company,China,Building material，Steel machine Air tools,,,,
Building & Construction,Manufacturer,Pt Aster Decorindo Abadi,Indonesia,Tiles,2001,,,
Building & Construction,Manufacturer,Shan Dong YunZhi New Materials Co.Ltd,China,aluminum composite panel,2001,100,4 million US dollars,70%
Building & Construction,,Viettel Construction,Vietnam,Steel,,,,
Building & Construction,Manufacturer,Tangshan Jiangji Trade Co.Ltd,China,H beam,,,,
Building & Construction,Manufacturer Distributor/Wholesaler,Anping Annealed Wire Factory,China,Asbestos Sheet,1999,300,,
Building & Construction,Manufacturer Distributor/Wholesaler,KRS new material co.ltd,China,calcium silicate board rock wool glass wool ceramic fiber,2016,50,,60-70
Building & Construction,,Yantai chengtai construction machinery co.LTD,China,,,,,
Building & Construction,,Beijing Dansen Aluminum Co. Ltd,China,Aluminum Profiles aluminum frames aluminum panels aluminum accessories,,,,
Building & Construction,,HUIHUA Glass,China,pattern glass acid etched glass decorative mirror,,,,
Building & Construction,Manufacturer,Shan Dong YunZhi New Materials Co.Ltd,China,aluminum composite panel,2001,120,10 million US dollars,62%
Building & Construction,,Shanghai Everay Optical Electronics Technology Co.LTD,China,EOS Electro Optic Sensor Systems,,,,
Building & Construction,Distributor/Wholesaler,Acwme,Saudi Arabia,Steel rebar,2021,10,,
Building & Construction,Manufacturer Trading Company,Tebmar,Egypt,Raised Floor,2010,60,,
Building & Construction,Manufacturer,XIGE Jingsheng Window & Door Fitting - Mai Yaopeng,China,Roller Plastic fitting lokcer handle,2000,100,,
Building & Construction,Manufacturer,Peacebuildcon,India,ceramic tiles,2021,10,,
Building & Construction,Manufacturer,Guangzhou Kunzhi Technology Co. Ltd,China,Smart PDLC Glass Self-adhesive PDLC Film PDLC Power Supply,2009,50,3000000.00USD,60%
Building & Construction,Distributor/Wholesaler,The Point Instrument,Indonesia,Total Station,2008,2008,,
Chemicals,Manufacturer Distributor/Wholesaler,Henan Xinlianxin Chemical Industry Group Co. LTD.,China,Urea 46,54,1000,50000000 RMB,100%
Chemicals,Manufacturer,Wengyuan Tytech Advanced Materials Co. Ltd,China,Spray Adhesive Embroidery Gum Exporter Spray Adhesive Manufacturers,,,,
Chemicals,,Azpolimer LLC,Azerbaijan,Petrochemical Products,,,,
Chemicals,,Gas Express kw,Kuwait,,,,,
Chemicals,Manufacturer,NanTong Reform Petrochemical Co. Ltd,China,dewatering agent,,,,
Chemicals,,Jinshan Science & Technology (Group) Co. Ltd.,China,Easy for Operation Safe for Patient,,,,
Chemicals,,Qingdao Polyswell Technology Co.Ltd,China,polyurea damping material,2020,18,5 million USD,30%
Chemicals,Manufacturer,SHANDONG HAIHUALIWEI NEW MATERIAL Co. Ltd,China,Refined Industrial Salt(Sodium Chloride) Magnesium Chloride Hexahydrate (Natural) Potassium Sulfat,2023,500,200000000CNY,50%
Chemicals,,Shandong xukechem,China,sodium hydrosulphide,,,,
Chemicals,,Anhui Kaisen Zhiyuan New Material Technology Co. Ltd.,China,Chemicals,,,,
Chemicals,,Shijiazhuang Yuhe New Environmental Protection Technology Co. Ltd.,China,HPMC RDP CMC MHEC，SLES Fragrances,,,,
Chemicals,,Company - Ohdji Kelvinch,USA,,,,,
Chemicals,Manufacturer,Chengdu Chuanpin Adhesive Co. Ltd,China,White LaTeX,In May 200,30-50,,
Chemicals,,Aquachem Supply,United Arab Emirates,sulfur,,,,
Chemicals,Manufacturer,Eco Friendly Disinfectant Company,United Arab Emirates,HOCL disinfectant and multi-purpose cleaner,2013,35,,
Chemicals,Trading Company,Yiwu Liuti Trade Firm,China,capsule OEM dapoxetine,2011,5-10,,
Chemicals,,Shandong Yuncheng Jinyu Trading Co. Ltd.,China,有机化合物,,,,
Chemicals,Manufacturer,RVP Starch Products Private Limited,India,Agar binder Textile sizing starch Iron ore binder Foundry Binder Maize Pregel Mosquito coil binder Tapioca Pregel,2018,,,
Chemicals,,Faravari Kavandegan Bana,Iran,Magnesium Sulphide,,,,
Chemicals,Manufacturer Trading Company Distributor/Wholesaler,Isfahan Bitumen,Iran,Bitumen,1983,,,
Chemicals,Manufacturer,SR Chemical Industries Ltd,Bangladesh,Calcium Hypochlorite 65%,1978,500,,
Chemicals,Manufacturer,Dongguan Bojunlai Adhesive Material Technology Co. Ltd.,China,silicone sealant,2012,200,2400000 pcs each year,30%
Chemicals,,Xiamen Wandefu Biotechnology Co. Ltd.,China,China Chemical Raw Material Pharmaceutical Intermediates Wholesale,,,,
Consumer Electronics,Distributor/Wholesaler,Hwa Chung Electric Mfg Co. Ltd,Taiwan,Steel Drum,2000,50,$1 Million - $3 Million,80%
Consumer Electronics,Distributor/Wholesaler,Jinwei Mold Co. Ltd,China,plastic mold maker insert molding over molding 2K molding plastic molding manufacturing plastic,2011,70,,
Consumer Electronics,Manufacturer Distributor/Wholesaler,3A Technology CO. Ltd.,China,Portable power station solar generator,2011,100,1billion,80%-100%
Consumer Electronics,Distributor/Wholesaler,WENZHOU CS SHOPPING,USA,General goods,2009,,,
Consumer Electronics,Manufacturer Trading Company Distributor/Wholesaler,Shenzhen Rongqi Tech Co.Ltd,China,Speaker/Projector,10/4/2023,50+,,
Consumer Electronics,Manufacturer,China HappyRab Maternal and Infant Products Co,China,Both Full glass kettle and tranditional kettle with top material and functions,2013,400,,
Consumer Electronics,,ShenZhen RHM Electrial Appliance C0. LTD.,China,,,,,
Consumer Electronics,,Shenzhen Targetever Technology Co. Ltd,China,,,,,
Consumer Electronics,,HSM Technology Co. Ltd,China,electronic product,,,120000000,100%
Consumer Electronics,,TechnoCycle,USA,,,,,
Consumer Electronics,,Youmi Technology,USA,phone LCD,,,,
Consumer Electronics,,Smartsound,USA,TWS,,,,
Electrical Equipment & Supplies,Manufacturer Trading Company,Pearl Electric Co. Ltd.,China,Dry type Transformer Oil-immersed Power Transformer Oil-immersed Distribution Transformer,,,,
Electrical Equipment & Supplies,Manufacturer Distributor/Wholesaler,Beijing Aohua Yutong Technology Co. Ltd.,China,饮水产品,2007,30+,2 million,50%
Electrical Equipment & Supplies,Manufacturer Trading Company Distributor/Wholesaler,Simcat co.; Top manufacturer and exporter of wire and cable in Tabriz Iran,Iran,Electrical wires and power cables; Aerial conductors; PVC granules; Aluminum and copper wires,1974,,,
Electrical Equipment & Supplies,Manufacturer,Jinan Ruby Laser Technology Co.Ltd,China,CO2 laser power supply HV laser power source HV CO2 PSU co2 laser tube,2015,56,5000000USD,40%
Electrical Equipment & Supplies,,ValueApex (Shanghai) Information Technology Co. Ltd.,China,equipment management software,,,,
Electrical Equipment & Supplies,Manufacturer,Anhui Xinsen Instrument Cable Co. Ltd.,China,POWER CABLE,2003,,,
Electrical Equipment & Supplies,,Beijing Eyecool Technology Co. Ltd.,China,multimodal biometric system,,,,
Electrical Equipment & Supplies,,Henan CNS Energy Technology Co.Ltd.,China,Car Starting Battery Energy Storage Battery,,,,
Electrical Equipment & Supplies,,Guangdong Zhengye Technology Co. Ltd.,China,Intelligent testing equipment solutions Customized industrial inspection intelligent equipment,,,,
Electrical Equipment & Supplies,Manufacturer Trading Company Distributor/Wholesaler Buying Office,Shaanxi Hanzhong Transformer Co. Ltd,China,Power transformer,1937,500,300000000RMB,50%
Electrical Equipment & Supplies,Manufacturer,Hebei Huatong Cable Group Co. Ltd.,China,电线电缆,1993,2000,60亿元,70%
Electrical Equipment & Supplies,Manufacturer Distributor/Wholesaler,Zhuhai Sinopak Electric Ltd,China,MV VFD SVG STATCOM APF AHF AVC,2015,,,100%
Electrical Equipment & Supplies,Manufacturer,Foshan Pengchang Construction Machinery Co. LTD,China,EXPLOSION PROOF EQUIPMENT,2012,300-500,,
Electrical Equipment & Supplies,Trading Company,Measurement Equipment Store,Indonesia,metal detector,,,,
Electronic Components & Supplies,Manufacturer,Intelligent,China,Electrical & Electronics Manufacturing,,,,
Electronic Components & Supplies,Manufacturer,Shenzhen Minteda Technology Co. Ltd,China,PCBA iMES Cloud System WMS Intelligent Warehouse Management,,,,
Electronic Components & Supplies,Manufacturer,Religare Electric Co.Ltd.,China,3.7 kw charger,,,,
Electronic Components & Supplies,,Shenzhen Hongwei Electronic Technology Co Ltd.,Singapore,electronics components,,,,
Electronic Components & Supplies,Manufacturer,Zhejiang Beilin Intelligent Electric Co.Ltd,China,Smart energy Meter,2020,50,,
Electronic Components & Supplies,,EASY PRINT HEAD,Indonesia,Print,,,,
Electronic Components & Supplies,Distributor/Wholesaler,SHENZHEN JEWEL ELECTRONIC CO.LTD.,China,transformer,1990,800,RMB 160 million,80%
Electronic Components & Supplies,,Guangdong Tianhu Electronic Technology Co. Ltd.,China,TouchScreen,,,,
Electronic Components & Supplies,Manufacturer Distributor/Wholesaler,ELP Lightning,Republic of Türkiye,Lightning Rod lightning protection  lightning protection equipment  grounding equipment  ESE li,1998,10,1000000,%80
Electronic Components & Supplies,Manufacturer,shenzhen zhunyi technology co.ltd,China,medical screen facotory,,,,
Electronic Components & Supplies,Distributor/Wholesaler,geefook（shenzhen）Electronic co. LTD.,China,electronics industry,2018,10,,
Electronic Components & Supplies,,China Dongguan Zhuocan Electronics Co. LTD,China,solid state capcatior,,,,
Energy,Manufacturer,PT.ABDULLAH MANHA MALIK,Indonesia,Charcoal Briquettes,2021,152,N/A,100% Export
Energy,,Green Wood,Kazakhstan,Charcoal briquettes wood chips,,,,
Energy,Distributor/Wholesaler,BLV Services LLC,USA,A1 Jet Fuel EN590 diesel,,,,
Energy,Manufacturer,V-land International Ltd.,China,solar panel system,,,203million dollars,
Energy,,Industry Proto-mold Limited,China,vacuum casting plastic parts,,,,
Energy,Manufacturer Distributor/Wholesaler,CHOYAL BIOENERGY INDUSTRIES,India,BIOMASS PELLETS,,,,
Energy,Distributor/Wholesaler,Shenzhen CIKOTON Environmental Technology Co. Ltd.,China,Heat pump,2015,20-99,,
Energy,Manufacturer Trading Company Distributor/Wholesaler,WOOD PALLETS SPO ORGANISATION,Republic of Türkiye,Wood Pellets Firewood A4 Paper Shipping Container,2112,102,,
Energy,Manufacturer,Shenzhen BaoEr Energy Technology Co. LTD.,China,Solar Inverter,2022,120,,
Energy,,Prometheus Bio Inc.,China,one step fob rapid test cassette,,,,
Energy,,YIWU DOLPHIN NETWORK LTD.,China,Anklets,,,,
Energy,Manufacturer,PRIME INDUSTRIAL VALVES MFG.CO.,India,INDUSTRIAL VALVES,1977,25,220000000,20 %
Energy,Manufacturer Distributor/Wholesaler,Sunsky Energy Company Co. Ltd,China,Transformers Power Transformers Autotransformers Generator Step-Up Transformers Auxiliary Transformer and LED Lights,2002,10000,,
Energy,Manufacturer,Volinergy,Canada,Battery Module Lithium-ion (Li-ion) Battery Management System (BMS) Artificial Algorithms,,,,
Energy,Distributor/Wholesaler,Makwenkwe,South Africa,Anthracite Coal,2017,-,-,-
Energy,Manufacturer Distributor/Wholesaler,peak universal general trading llc,United Arab Emirates,gilsonite wax bitumen walnut shell,,,,
Energy,Distributor/Wholesaler,Kathari Indonesia,Indonesia,Palm Kernel Shell,,,,
Energy,,DONGGUAN SIBAI METAL WORKS LIMITED,China,Electric Discharge Machining Service,,,,
Energy,,Company - Derek Phua,Malaysia,,,,,
Energy,Trading Company,WRIDERS,USA,Tire Oil Steel and Carbon Black Powder,2020`,3,100000 to 5000000.00,70%
Energy,,OOO TOBEARAL OIL,Kazakhstan,Fuels,2008,20,,
Energy,Trading Company Distributor/Wholesaler,Yoohong Business Syndicate Co; Ltd.,Thailand,Biomass charcoal briquettes ginger fertilisers Coffee soya beans mangoes pummelos,2017,5,< 1 million USD,50%
Energy,Manufacturer,PT. Bara Energy Mahajaya,Indonesia,Wood Pellet,2023,50,,60%
Energy,,XPower Solar Energy Co.Ltd,China,,,,,
Energy,,UNIORGEO,Kazakhstan,oil products,,,,
Energy,,CV. Ahlul Agri Hasanah,Singapore,,,,,
Energy,Distributor/Wholesaler,JOINT STOCK COMPANY PERMOBLNEFT,Russia,EN590 10PPM JET A1 LNG PET COKE Bitumen UREA 46% PRILLED & GRANUL,2012,10-50,$5000000,
Energy,,Asiawood. JSC,Vietnam,Wood pellet,,,,
Energy,,Nomo,Vietnam,solar street lights and solar systems,,,,
Energy,Manufacturer Trading Company Distributor/Wholesaler,sherwood,China,pine wood pellets,2003,50,,
Energy,,NEOGIN,China,heat pump,,,,
Energy,,Agro 9th Kilometer Ltd - Macedonia,Macedonia,Wooden Pellets,,,,
Energy,Distributor/Wholesaler,ATLANTIS INVESTMENT AND CONSULTING COMPANY LIMITED,Vietnam,Rice Husk Pellets,2017,15,,
Fashion Accessories,Manufacturer Trading Company,Hebei Xinyimei Textile Co.ltd.,China,polyester yarn cotton yarn viscose yarn nylon yarn pp yarn silk yarn,2022,20+,100 milions,polyester yarncotton yarnnylon yarnviscose yarn acrylic yarn bamboo yarn pp yarn silk yarn wool yarnspandex yarn polyester fiberviscose fiber
Fashion Accessories,,Azomo Impex,Pakistan,Military Uniform Accessories,,,,
Fashion Accessories,Manufacturer Distributor/Wholesaler,the jewelry creations,India,हम जयपुर Johri bazar आधारित आभूषण निर्माता हैं आप किसी भी प्रकार के जयपुरी कुंदन एडी आभूषण हस्तनिर्मित brass jewelry या किसी अन्य प्रकार के brass jewelry के लिए हमसे संपर्क कर सकते हैं।,2020,25,,
Fashion Accessories,Manufacturer,ELDRINO OVERSEAS LLP,India,Leather bags,,100-150,,100
Fashion Accessories,,Kalashilpkriti UG,Germany,Kashmir schawls,,,,
Food & Beverage,Trading Company Distributor/Wholesaler,Teraso Food,South Korea,Seafood Herbs Processed food,2000,10-20,US$10 Million - US$50 Million,90%
Food & Beverage,,Mission J.A.D.E.,USA,Vanilla Beans Vanilla extract spices cacao Coffee,2018,,,
Food & Beverage,,Royal lamb,United Arab Emirates,Lamb fat,,,,
Food & Beverage,Manufacturer,Zhangzhou Hongyi Import and Export Co. Ltd.,China,foodstuffs,1992,136,8 million,80%
Food & Beverage,Distributor/Wholesaler Buying Office,Connect Value Ltd,United Kingdom,Refined Sunflower Oil Sugar ICUMSA 45 Yellow Corn Milk Powder Wheat Wheat Flour Soybean,1986,0-10,,
Food & Beverage,,Spice Ceylan Ventures (Private) Limited,Sri Lanka,Food & Beverage,2013,0-5,,
Food & Beverage,,Natural Superfoods,Peru,Mung Beans Adzuki beans cacao nibs powder butter and liquor Maca powder Coffee roasted,,,,
Food & Beverage,Manufacturer Distributor/Wholesaler,ISHAQ SHAHID LTD,Pakistan,pink himaliyan salt,1999,13-20,10000$,80%
